Report group,Report,Extended Description,Type,Purpose,extended Purpose,Primary Audience,Owner,link,Url,rank
Copper Price,SH LME relative,shanghai metal copper vs LME copper,Standard report,Pricing Meeting,"Presents time-based trends, possibly across product or customer groups. filter by ",Sales,Scott,SH LME relative - Copper Price - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/1ee56ba9-0fe1-4fd5-9f8f-8e391797aa03/ReportSection9c077208864346ac0eb0?experience=power-bi,8
Copper Price,2 NZD Cu relative,NZD and copper in one graph,Standard report,Pricing Meeting,"Presents time-based trends, possibly across product or customer groups. filter by ",Sales,Scott,2 NZD Cu relative - Copper Price - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/1ee56ba9-0fe1-4fd5-9f8f-8e391797aa03/ReportSectionff1ef4347e50ca6b1320?experience=power-bi,8
Copper Price,Duplicate of Bundle NZD HC,Henry cables costs for a product bundle product in NZD slightly different bundle,Standard report,Pricing Meeting,"Presents time-based trends, possibly across product or customer groups. filter by ",Sales,Scott,Duplicate of Bundle NZD HC - Copper Price - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/1ee56ba9-0fe1-4fd5-9f8f-8e391797aa03/6e70fd86152b6e007930?experience=power-bi,8
Copper Price,Copper MA dashboard,A dashboard for copper moving averages analysis,,,copper price with statistical   of trends for forecasting filter by ,HOD,Scott,Copper MA Dashboard - Copper Price - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/1ee56ba9-0fe1-4fd5-9f8f-8e391797aa03/1e2f6461a05c6c435211?experience=power-bi,8
Copper Price,Copper Momentum dashboard,A dashboard for copper momentum analysis,,,copper price with statistical   of trends for forecasting filter by ,HOD,Scott,Copper Momentum Dashboard - Copper Price - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/1ee56ba9-0fe1-4fd5-9f8f-8e391797aa03/8956e389ae7fd6335bd6?experience=power-bi,8
Copper Price,Copper Fibonacci dashboard,A dashboard for copper Fibonacci analysis,,,copper price with statistical   of trends for forecasting filter by ,HOD,Scott,Copper Fibonacci Dashboard - Copper Price - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/1ee56ba9-0fe1-4fd5-9f8f-8e391797aa03/61a29bc6f5f38346e145?experience=power-bi,8
Copper Price,Copper bollinger dashboard,A dashboard for copper Bollinger analysis,,,copper price with statistical   of trends for forecasting filter by ,HOD,Scott,Bollinger Dashboard - Copper Price - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/1ee56ba9-0fe1-4fd5-9f8f-8e391797aa03/b928c66c811730d48b64?experience=power-bi,8
Copper Price,NZD LME vs SHME,NZD LME vs SHME copper prices,Analysts report,,"Presents time-based trends, possibly across product or customer groups. filter by ",,Scott,NZD LME vs SHME - Copper Price - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/1ee56ba9-0fe1-4fd5-9f8f-8e391797aa03/6c650290e1c031b2f3e7?experience=power-bi,8
Copper Price,Price change,A accurate estimate of when prices were changed,Analysts report,Reference,List of when retail price changes occured in firstflex,HOD,Scott,Price change - Copper Price - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/1ee56ba9-0fe1-4fd5-9f8f-8e391797aa03/ee482dd00020a837a7c1?experience=power-bi,8
Picks,Staff Picks by Day,picks vs cuts,Analysts report,Operations," product or group breakdown, time-based trend   filter by Transaction Date, Working Day, Wt Login Id",Operations,Dan,Staff Picks by Day - Picks - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/622c309f-f3b3-421f-b985-216a0429e42b/ReportSection740108f02ddb102d05d8?experience=power-bi,8
Picks,Picks vs hour,picks per hour,Analysts report,Operations," time-based trend   filter by Transaction Date, Wt Login Id",Operations,Dan,Picks vs hour - Picks - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/622c309f-f3b3-421f-b985-216a0429e42b/ReportSection7bfc56df1031359263a2?experience=power-bi,8
Picks,Cuts vs hour,cuts per hour,Analysts report,Operations," time-based trend   filter by Transaction Date, User",Operations,Dan,Cuts vs hour - Picks - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/622c309f-f3b3-421f-b985-216a0429e42b/ReportSection956189149e4cdb345056?experience=power-bi,8
Sales Reports,Assembly top sellers,Assembly top sellers by item,Standard report,Assembly,"For forecasting future builds. Assist with bulk future purchases of components. Reviewing individual product trends. product or group breakdown, sales performance tracking, time-based trend   filter by Item Type Code, Transaction Date",Assembly,Richard,Assembly Top Sellers - Sales Reports - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/6dc87e13-0058-41a6-a693-98df774ddde3/ReportSection52ae60ae08500dbcda0a?experience=power-bi,8
Sales Reports,Top Wholesaler Vs PCP,Customer/customer group revenue compared to PCP,Standard report,Sales,"Useful for reports like top 10 branches margin  , product or group breakdown, sales performance tracking, time-based trend   filter by Compare Date, Customer Group, Sales Rep, Sitemate, Sitemate Flag, Territory Description, Transaction Date, Zone",Sales,Jimmy,Top Wholesaler Vs PCP - Sales Reports - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/6dc87e13-0058-41a6-a693-98df774ddde3/ReportSection34b4596fa9d942548e75?experience=power-bi,8
Sales Reports,Customer Group sales No GP,Customer group sales report (no margin),Standard report,Sales,"Useful for reports like top 10 branches product or group breakdown, sales performance tracking, time-based trend   filter by Compare Date, Customer Group, Sitemate, Sitemate Flag, Territory Description, Transaction Date, Zone",Sales,Jimmy,Customer Group sales No GP - Sales Reports - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/6dc87e13-0058-41a6-a693-98df774ddde3/ReportSectionae368eb54e16238b55d2?experience=power-bi,8
Sales Reports,Monthly & YTD Sales,monthly sales formatted for Marty,Standard report,Sales,"report specifically for Marty to do his reporting, dates are locked like with the HOD reports margin  , product or group breakdown, sales performance tracking, time-based trend   filter by Ly, Tylyf",Sales,Jimmy,Monthly & YTD Sales - Sales Reports - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/6dc87e13-0058-41a6-a693-98df774ddde3/ReportSection79949345134430a937e4?experience=power-bi,8
Budget Product,Branch Sales Top 50 challenge,Specialized marketing report ,Analysts report,Marketing,"report on the 50yr sales to see who is winning sales performance tracking, time-based trend  , volume comparison filter by 50Yr, Compare Date, Customer Group, Rep Code, Sitemate Code, Trans Date",Marketing,Kelly,Branch Sales Top 50 Challenge - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection18df5df62d4f1a4828cb?experience=power-bi,9
Reordering,Stock over time,reports for reordering shows historic graph to help adjust purchasing,Analysts report,Operations,,Operations,Scott,Stock over Time - Reordering - Power BI,https://app.powerbi.com/groups/a2cb0db1-bf1d-41ee-975f-3a3895e9c6e1/reports/86d32c23-2ba9-4836-82d0-81894a4fccfb/ReportSectionf92aba09637c00107e02?redirectedFromSignup=1&experience=power-bi,11
Reordering,BO by category,bo by category,Analysts report,Operations,,Operations,Scott,BO By Category - Reordering - Power BI,https://app.powerbi.com/groups/a2cb0db1-bf1d-41ee-975f-3a3895e9c6e1/reports/86d32c23-2ba9-4836-82d0-81894a4fccfb/ReportSection12d3432d3290120ad4da?redirectedFromSignup=1&experience=power-bi,11
Budget Product,rep sales orders by day,sales orders by day that reps can edit,Analysts report,Sales,,Sales,Scott,,0,12
Budget Product,GMROI by art,"GMROI by article, useful for stock obsolescence",For Approval,Sales," margin  , product or group breakdown, sales performance tracking filter by Gmroi Columns, Hierarchy Field, Top Line",Sales,Jimmy,GMROI by Art - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection9505f261b400bcd953c4?experience=power-bi,12
Budget Product,GMROI by cat,GMROI by stock group and class useful for general gimroi reporting by category,For Approval,Sales," margin  , product or group breakdown, sales performance tracking filter by Hierarchy Field, Item Type Code, Price Book, Sort Code, Top Line",Sales,Jimmy,GMROI by Cat - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSectiondf7c1d2361ad9a81fc03?experience=power-bi,12
Budget Product,Budget vs Sales,Top line (maxcab vs core) report actual vs last year and budget,Analysts report,Sales," margin  , product or group breakdown, sales performance tracking, time-based trend   filter by Period Date, Rundown, Sht Category, Sht Class, Stock Group, Top Line",Sales,Scott,Budget vs Sales - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSectiona18c60ca307e906d8788?experience=power-bi,12
Budget Product,summary table,For a given month topline (maxcab vs core) volume budget and revenue,Analysts report,Sales," margin  , product or group breakdown, sales performance tracking, time-based trend  , volume comparison filter by Period Date, Rundown, Stock Group",Sales,Scott,Summary table - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSectiona53cdec77334f31c571c?experience=power-bi,12
Budget Product,stock,Quantity on hand by date line graph,Analysts report,Sales," product or group breakdown, time-based trend   filter by Date, Stock Abc Class, Stock Unit Description, Stock Code, Stock Group, Top Line",Sales,Scott,Stock - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/0334b15fa22c3a25400e?experience=power-bi,12
Budget Product,Customer Sales Report,Sales report by customer,Standard report,Sales," product or group breakdown, sales performance tracking, time-based trend  , volume comparison filter by Compare Date, Customer Description, Customer Group, Rep Code, Sitemate Code, Sub Cat, Top Line, Trans Date, Zone",Sales,Jimmy,Customer Sales Report - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSectionf25734a82e3c93194466?experience=power-bi,12
Budget Product,Margin % bar graph,report on margin over time with a bar graph,,," margin  , product or group breakdown, sales performance tracking, time-based trend   filter by Period Date, Rundown, Sht Category, Sht Class, Top Line",,Scott,Margin % bar graph - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/b4047200343f229638d8?experience=power-bi,12
Budget Product,day sales,shipped amount by day,,," sales performance tracking, time-based trend   filter by Month Name, Weekday, Year Code",,Scott,day sales - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/a8026ed20425cfe3b1b2?experience=power-bi,12
Budget Product,$ Stock,dollars of stock on hand by month replacement and average cost,,," product or group breakdown, time-based trend   filter by Date, Stock Abc Class, Stock Code, Stock Group, Top Line",,Scott,$ Stock - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/87ffc93bbab69702303e?experience=power-bi,12
Budget Product,2nd Assembly Graph,sum of assembly ordered quantity,,," product or group breakdown, sales performance tracking, time-based trend  , volume comparison filter by Item Type Code, Rundown, Trans Date",,Scott,2nd Assembly Graph - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/3c0ab06482bcd209f802?experience=power-bi,12
Budget Product,Cumulative Assembly Graph,Cumulative Assembly sales Graph,,," product or group breakdown, sales performance tracking, time-based trend  , volume comparison filter by Item Type Code, Rundown, Trans Date",,Scott,Cumulative Assembly Graph - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/4973f6be664e017a6e5e?experience=power-bi,12
Budget Product,Stock report,report on stock levels,,," product or group breakdown, sales performance tracking, time-based trend   filter by Hierarchy Field, Top Line, Trans Date",,Scott,Stock report - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/c51e74d134152ca5e9e1?experience=power-bi,12
Budget Product,Stock BO,report on backorder s by product,,," product or group breakdown, time-based trend   filter by Stock Group, Trans Date",,Scott,Stock BO - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection27388e5e9e04c4aa0040?experience=power-bi,12
Dashboard,N/A,a general dashboard report,For Approval,None,,HOD,Scott,,0,12
Dashreports - Power BI,sipment $,a dashboard report for shipments,Analysts report,None,,HOD,Scott,,0,12
Dashreports - Power BI,Locaitons used,a dashboard report on locations,Analysts report,None,,HOD,Scott,,0,12
Dashreports - Power BI,Quotes,a dashboard report on quotes,Analysts report,None,,HOD,Scott,,0,12
exchange economic analysis,various reports,Analysis of various economic variables,Analysts report,None,,HOD,Scott,,0,12
Picks,Sales vs Picks vs days,count of sales orders vs picks by day,Analysts report,," sales performance tracking, time-based trend   filter by Transaction Date, Working Day",,Scott,Sales vs Picks vs days - Picks - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/622c309f-f3b3-421f-b985-216a0429e42b/670503c3b0059c021e07?experience=power-bi,12
Picks,Duplicate of Sales vs Picks vs days,count of sales orders vs picks by day,Analysts report,," sales performance tracking, time-based trend   filter by Transaction Date",,Scott,Duplicate of Sales vs Picks vs days - Picks - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/622c309f-f3b3-421f-b985-216a0429e42b/5fb8387841e4801cac5a?experience=power-bi,12
Picks,CutPick,a table of cuts and a table of picks,Analysts report,," product or group breakdown, time-based trend   filter by Transaction Date",,Scott,CutPick - Picks - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/622c309f-f3b3-421f-b985-216a0429e42b/d23f69a42a9d7d404659?experience=power-bi,12
Picks live,Sales vs Picks vs days,,Analysts report,," sales performance tracking, time-based trend   filter by Transaction Date, Working Day",,Scott,Picks live - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/09f16c9e-503d-4cfb-b417-bf6d2c669fe2/5fb8387841e4801cac5a?redirectedFromSignup=1&experience=power-bi,12
Purchase Orders,PO,"PO vendor by month, shows top vendors by value",Analysts report,Operations, time-based trend  ,Operations,Scott,PO Payment date - Purchase Orders - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/bc077e72-aa13-47c3-9034-19e6859a9830/5b0a176861a0d2d0b700?experience=power-bi,12
Purchase Orders,Length,product purchases by vendor as a percent of total by volume,Analysts report,Operations," product or group breakdown, time-based trend  ",Operations,Scott,length - Purchase Orders - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/bc077e72-aa13-47c3-9034-19e6859a9830/ReportSectiona189332c1813b02393a7?experience=power-bi,12
Purchase Orders,Value,product purchases by vendor as a percent of total by value,Analysts report,Operations,,Operations,Scott,Ordered Value - Purchase Orders - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/bc077e72-aa13-47c3-9034-19e6859a9830/ReportSectionae1391117392b6a8da39?experience=power-bi,12
Purchase Orders,Margins,working on getting a leading indicator on average cost,For Approval,Operations," margin  , product or group breakdown, sales performance tracking",Operations,Dan,Margins - Purchase Orders - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/bc077e72-aa13-47c3-9034-19e6859a9830/ReportSectionf98577b1156667ba0686?experience=power-bi,12
Purchase Orders,Ordered Value,stock ordered by supplier,Analysts report,," product or group breakdown, time-based trend  ",,Scott,Ordered Value - Purchase Orders - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/bc077e72-aa13-47c3-9034-19e6859a9830/ReportSectionae1391117392b6a8da39?experience=power-bi,12
Purchase Orders,1st Supplier Value,stock ordered by the systems 1st supplier,Analysts report,," product or group breakdown, time-based trend  ",,Scott,1st Supplier Value - Purchase Orders - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/bc077e72-aa13-47c3-9034-19e6859a9830/a1fc495a1ed122484a6e?experience=power-bi,12
Purchase Orders,PO Summary,stock ordered by PO actual,Analysts report,," product or group breakdown, time-based trend  ",,Scott,PO Summary - Purchase Orders - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/bc077e72-aa13-47c3-9034-19e6859a9830/ReportSection8fec2a25fd542fa9e203?experience=power-bi,12
Purchase Orders,PO Payment date,stock ordered by supplier by PO payment date,Analysts report,," product or group breakdown, time-based trend  ",,Scott,PO Payment date - Purchase Orders - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/bc077e72-aa13-47c3-9034-19e6859a9830/5b0a176861a0d2d0b700?experience=power-bi,12
Purchase Orders,Stock quantities ordered,stock quantity ordered by date,Analysts report,," product or group breakdown, time-based trend  ",,Scott,Stock quantities ordered - Purchase Orders - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/bc077e72-aa13-47c3-9034-19e6859a9830/187b4bc303bb750950e7?experience=power-bi,12
Quotes Margin,MMBR done count,reviewing the margin performance,Analysts report,Operations,"Presents time-based trends, possibly across product or customer groups.",Operations,Dan,MMBR done count - Quotes Margin - Power BI,https://app.powerbi.com/groups/a2cb0db1-bf1d-41ee-975f-3a3895e9c6e1/reports/576923f1-f2a4-4ca2-a664-456d8bcfe264/ReportSection97be11569beea6a0ec0d?experience=power-bi,12
Quotes Margin,MMBR vs done,report on MMBR vs quotes done,Analysts report,Operations,,Operations,Dan,MMBR vsdone - Quotes Margin - Power BI,https://app.powerbi.com/groups/a2cb0db1-bf1d-41ee-975f-3a3895e9c6e1/reports/576923f1-f2a4-4ca2-a664-456d8bcfe264/ReportSection?experience=power-bi,12
Quotes Margin,MMBR vs won,report on mmbr vs quotes won,Analysts report,Operations,"Presents time-based trends, possibly across product or customer groups.",Operations,Dan,MMBR vs won - Quotes Margin - Power BI,https://app.powerbi.com/groups/a2cb0db1-bf1d-41ee-975f-3a3895e9c6e1/reports/576923f1-f2a4-4ca2-a664-456d8bcfe264/ReportSection8110667358408ac0ac09?experience=power-bi,12
Quotes Margin,Won vs Margin $,report on quotes won vs margin in dollars,Analysts report,Operations,,Operations,Dan,Won vs Mgn$ - Quotes Margin - Power BI,https://app.powerbi.com/groups/a2cb0db1-bf1d-41ee-975f-3a3895e9c6e1/reports/576923f1-f2a4-4ca2-a664-456d8bcfe264/ReportSectiond69722d721ee10ba0780?experience=power-bi,12
Quotes Margin,Won vs Margin %,report on quotes won vs margin as a percent,Analysts report,Operations,,Operations,Dan,Won vs Mgn% - Quotes Margin - Power BI,https://app.powerbi.com/groups/a2cb0db1-bf1d-41ee-975f-3a3895e9c6e1/reports/576923f1-f2a4-4ca2-a664-456d8bcfe264/ReportSection5cc8dc9dd375bc723a9e?experience=power-bi,12
Quotes Margin,Quotes done vs sales,report on quotes done vs sales,Analysts report,Operations,"Focuses on sales figures, potentially grouped by product or time.",Operations,Dan,Quotes done vs sales - Quotes Margin - Power BI,https://app.powerbi.com/groups/a2cb0db1-bf1d-41ee-975f-3a3895e9c6e1/reports/576923f1-f2a4-4ca2-a664-456d8bcfe264/ReportSection71acb3e47d3b997d04c9?experience=power-bi,12
Quotes Margin,various reports,Analysis of margins on Quotes,Analysts report,Sales,,HOD,Scott,,0,12
Quotes Ratio,Quotes table,"split quotes by SO,line,Qty and value by area, zone, region  rep etc",Analysts report,Operations,,Operations,Dan,Quotes table - Quotes Ratios - Power BI,https://app.powerbi.com/groups/a2cb0db1-bf1d-41ee-975f-3a3895e9c6e1/reports/97993c7e-71b0-441c-9627-35aca94141ff/ReportSectionb8c347da1075ecfccdc3?experience=power-bi,12
Quotes Ratio,Average won,reviewing the quote success rates by customer,Analysts report,Operations,,Operations,Dan,Average won $ - Quotes Ratios - Power BI,https://app.powerbi.com/groups/a2cb0db1-bf1d-41ee-975f-3a3895e9c6e1/reports/97993c7e-71b0-441c-9627-35aca94141ff/ReportSection298d8a3be954da24d890?experience=power-bi,12
Quotes Ratio,lines ratio,Quotes won vs done by line by year,Analysts report,Operations,,Operations,Dan,Average won $ - Quotes Ratios - Power BI,https://app.powerbi.com/groups/a2cb0db1-bf1d-41ee-975f-3a3895e9c6e1/reports/97993c7e-71b0-441c-9627-35aca94141ff/ReportSection298d8a3be954da24d890?experience=power-bi,12
Reordering,stock days late,show how long it usually takes to fill a back order,Analysts report,Operations,,Operations,Scott,Stock Days Late - Reordering - Power BI,https://app.powerbi.com/groups/a2cb0db1-bf1d-41ee-975f-3a3895e9c6e1/reports/86d32c23-2ba9-4836-82d0-81894a4fccfb/ReportSectiona43a9b138c736a1a808b?redirectedFromSignup=1&experience=power-bi,12
Reordering,BO By Category,sum of backorders over time by category,Not live,Operations,,Operations,Dan,,0,12
Reordering,Reordering,shows how long it usually takes to fill a back order,,Operations,,Operations,Dan,,0,12
Reordering,Stock over Time,Used to look at individual items stock levels over time,,None,,HOD,Scott,,0,12
Company Dash,N/A,a general dashboard report,For Approval,None,,HOD,Scott,,0,17
Yellowfin Stock Group Sales Comparison - (Cust Grp Comparison),Yellowfin Stock Group Sales Comparison - (Cust Grp Comparison),Yellowfin sales and margin by stock group,Standard report,,,Sales,,,http://pronto:8081/RunReport.i4?reportUUID=a820ea39-c7b0-41ef-a8ae-ec409f914298&primaryOrg=1&clientOrg=1,5
Yellowfin Monthly Sales vs Budget Marty version,Yellowfin Monthly Sales vs Budget ,Yellowfin Monthly Sales vs Budget Marty version,Standard report,,,Sales,,,http://pronto:8081/RunReport.i4?reportUUID=cb142255-e64d-434b-88e8-aef5365ce37b&primaryOrg=1&clientOrg=1,5
Yellowfin Master Rep Report - Stock Item drillthrough,Yellowfin Master Rep Report - Stock Item drillthrough,Yellowfin Master Rep Report - Stock Item drill through,Standard report,,,Sales,,,http://pronto:8081/RunReport.i4?reportUUID=95a4bb4a-a8fe-4c4a-a911-f195783a1dfa&primaryOrg=1&clientOrg=1,5
Yellowfin Marketing Group Sales Comparison - (Cust Grp Comparison),Yellowfin Marketing Group (customer) Sales Comparison ,Yellowfin Marketing Group Sales Comparison - (Cust Grp Comparison),Standard report,,,Sales,,,http://pronto:8081/RunReport.i4?reportUUID=0aea5203-8b5d-4c75-9ac6-8981fe6c00b8&primaryOrg=1&clientOrg=1,5
Yellowfin Stock Item Sales Comparison - (Cust Grp Comparison),Yellowfin Stock Item Sales Comparison - (Cust Grp Comparison),Yellowfin Stock Item Sales Comparison - (Cust Grp Comparison),Standard report,,,Sales,,,http://pronto:8081/RunReport.i4?reportUUID=d155096f-2581-41f8-804f-96b73a400fce&primaryOrg=1&clientOrg=1,5
Yellowfin Master Rep Report - Stock Group drillthrough,Yellowfin Master Rep Report - Stock Group drillthrough,Yellowfin Master Rep Report - Stock Group drill through,Standard report,,,Sales,,,http://pronto:8081/RunReport.i4?reportUUID=fc5c097a-c2d7-41e4-b9ef-edd9be61d629&primaryOrg=1&clientOrg=1,5
Yellowfin Customer Sales Comparison - (Cust Grp Comparison),Yellowfin Customer Sales Comparison - (Cust Grp Comparison),Yellowfin Customer Sales Comparison - (Cust Grp Comparison),Standard report,,,Sales,,,http://pronto:8081/RunReport.i4?reportUUID=9fc4da11-1378-4cfc-87e3-da65b8a0ac68&primaryOrg=1&clientOrg=1,5
